HR,mBP
-0.3580813254079511,-0.11966564880674746
-0.36365509033203125,-0.11966564880674746
-0.3682686590379284,-0.11966564880674746
-0.36736026886970763,-0.11848639492964863
-0.3803372536936114,-0.12095475078222173
-0.3834390947895665,-0.12342310663479472
-0.37894698112241687,-0.121307373046875
-0.39084772909841226,-0.11919163945895528
-0.3912837120794481,-0.11707590587103545
-0.377274174844065,-0.11949840944204759
-0.3847081584315146,-0.12399087023379196
-0.3821672008883569,-0.1035029472996346
-0.365938002063382,-0.09808015586131846
-0.38249932565996725,-0.0928217949558846
-0.3754283535865045,-0.06958243147057686
-0.35854302683184225,-0.06238476198111009
-0.3686089054230721,-0.05251262911516641
-0.3682686590379284,-0.026055710825754086
-0.33174317882907,-0.015927063291938715
-0.3696285370857485,-0.018006433894978247
-0.35634649953534525,0.011183705495957819
-0.3497650392593876,0.027666537915889355
-0.3441739236154864,0.033448328426228136
-0.34782889581495713,0.047584192076725706
-0.3484162361391129,0.053096562475707376
-0.3459452967489919,0.043583125024292624
-0.3464167194981729,0.05023405919620649
-0.34700553647933463,0.04491124698771776
-0.344055668000252,0.02647718742712213
-0.3483575390231225,0.019482512972248234
-0.35309416247952374,0.01841356267976524
-0.3446468230216734,0.005049216806592094
-0.3484162361391129,-0.004958271387204616
-0.34923762659872737,0.005407912221121025
-0.3446468230216734,0.001405858281833039
-0.3441739236154864,-0.007225074578280477
-0.34735858055853075,0.010365576293337897
-0.33739348380796375,0.008610967379897305
-0.3238392491494456,0.030104983505324867
-0.3258556242912046,0.033456982664801016
-0.3263432902674521,0.00862402465213008
-0.32920099073840725,-0.028740498557019545
-0.34227851129347275,-0.06383131036710976
-0.34741740072927163,-0.07640629858519898
-0.3234105263986895,-0.0450181344255286
-0.3334964013868763,-0.032090827600279814
-0.343582276375063,-0.06018013266188593
-0.33270878945627524,-0.07885263926947295
-0.33739348380796375,-0.1086563945409671
-0.32138590658864663,-0.06675796129217193
-0.3238392491494456,-0.04655327488533889
-0.3278043193201865,-0.06882594473919468
-0.34073392806514613,-0.07984537153101678
-0.3239615655714466,-0.07179662600085512
-0.3267699210874496,-0.055161737090912655
-0.3460042399744834,-0.05894014728603081
-0.3253673430412046,-0.0620094413187966
-0.33125981976909025,-0.054394470518501215
-0.345001220703125,-0.058560119932563715
-0.33463508852066537,-0.06554644380635888
-0.34227851129347275,-0.04614197081001248
-0.31997077695785026,-0.03215573438957553
-0.3268307101341986,-0.015320811105604792
-0.34888569001228575,-0.04159166326570274
-0.3283512976861769,-0.06940122386116299
-0.33113898000409525,-0.04800635190745495
-0.3450602869833669,-0.06514850066075872
-0.3243286378922001,-0.06678931392840481
-0.3238392491494456,-0.060730815526857884
-0.34221919890372987,-0.0763059397835043
-0.32920099073840725,-0.08237210553676932
-0.33270878945627524,-0.07028304522310325
-0.33258819580078125,-0.07937257681319965
-0.3488271159510459,-0.09560838386194026
-0.33888712236958163,-0.1023087382909671
-0.34126909317508825,-0.09353045563199625
-0.322981680593183,-0.07107915925742381
-0.3249398508379536,-0.07060719959771455
-0.3307155486076109,-0.07914232851854008
-0.34729976038778987,-0.10460909563510568
-0.34894438712827625,-0.12277570885805345
-0.3238392491494456,-0.106133152596393
-0.3301707852271295,-0.11696180656774724
-0.33745328841670863,-0.12943909298721235
-0.3425750732421875,-0.14855645782318871
-0.31953934700258313,-0.1448515327415656
-0.3227977137411794,-0.1281666921738961
-0.32938298871440275,-0.09811279904189985
